"nom","fonction","groupe","circonscription","mail"
"Mme Caroline Yadan",,"Ensemble pour la République","FRANÇAIS ÉTABLIS HORS DE FRANCE 8e","caroline.yadan@assemblee-nationale.fr"
"M. Jiovanny William",,"Socialistes et apparentés","Martinique 1re","jiovanny.william@assemblee-nationale.fr"
"M. Jean-Luc Warsmann",,"Libertés, Indépendants, Outre-mer et Territoires","Ardennes 3e","jean-luc.warsmann@assemblee-nationale.fr"
"M. Antoine Villedieu",,"Rassemblement National","Haute-Saône 1re","antoine.villedieu@assemblee-nationale.fr"
"M. Roger Vicot",,"Socialistes et apparentés","Nord 11e","roger.vicot@assemblee-nationale.fr"
"M. Frédéric Valletoux","Vice-président ","Horizons & Indépendants","Seine-et-Marne 2e","frederic.valletoux@assemblee-nationale.fr"
"Mme Sophie Vaginay",,"UDR","Alpes-de-Haute-Provence 2e","sophie.vaginay@assemblee-nationale.fr"
"Mme Céline Thiébault-Martinez",,"Socialistes et apparentés","Seine-et-Marne 9e","celine.thiebault-martinez@assemblee-nationale.fr"
"M. Jean Terlier",,"Ensemble pour la République","Tarn 3e","jean.terlier@assemblee-nationale.fr"
"M. Michaël Taverne",,"Rassemblement National","Nord 12e","michael.taverne@assemblee-nationale.fr"
"M. Philippe Schreck",,"Rassemblement National","Var 8e","philippe.schreck@assemblee-nationale.fr"
"M. Hervé Saulignac",,"Socialistes et apparentés","Ardèche 1re","herve.saulignac@assemblee-nationale.fr"
"Mme Béatrice Roullaud",,"Rassemblement National","Seine-et-Marne 6e","beatrice.roullaud@assemblee-nationale.fr"
"Mme Sandra Regol",,"Écologiste et Social","Bas-Rhin 1re","sandra.regol@assemblee-nationale.fr"
"M. Julien Rancoule",,"Rassemblement National","Aude 3e","julien.rancoule@assemblee-nationale.fr"
"Mme Marie-Agnès Poussier-Winsback",,"Horizons & Indépendants","Seine-Maritime 9e","marieagnes.poussier-winsback@assemblee-nationale.fr"
"M. Marc Pena",,"Socialistes et apparentés","Bouches-du-Rhône 11e","marc.pena@assemblee-nationale.fr"
"M. Éric Pauget",,"Droite Républicaine","Alpes-Maritimes 7e","eric.pauget@assemblee-nationale.fr"
"Mme Naïma Moutchou",,"Horizons & Indépendants","Val-d'Oise 4e","naima.moutchou@assemblee-nationale.fr"
"M. Paul Molac",,"Libertés, Indépendants, Outre-mer et Territoires","Morbihan 4e","paul.molac@assemblee-nationale.fr"
"Mme Laure Miller",,"Ensemble pour la République","Marne 2e","laure.miller@assemblee-nationale.fr"
"M. Ludovic Mendes",,"Ensemble pour la République","Moselle 2e","ludovic.mendes@assemblee-nationale.fr"
"M. Stéphane Mazars",,"Ensemble pour la République","Aveyron 1re","stephane.mazars@assemblee-nationale.fr"
"M. Bryan Masson",,"Rassemblement National","Alpes-Maritimes 6e","bryan.masson@assemblee-nationale.fr"
"M. Éric Martineau",,"Les Démocrates","Sarthe 3e","eric.martineau@assemblee-nationale.fr"
"M. Olivier Marleix",,"Droite Républicaine","Eure-et-Loir 2e","olivier.marleix@assemblee-nationale.fr"
"Mme Marie-France Lorho",,"Rassemblement National","Vaucluse 4e","marie-france.lorho@assemblee-nationale.fr"
"M. Aurélien Lopez-Liguori",,"Rassemblement National","Hérault 7e","aurelien.lopezliguori@assemblee-nationale.fr"
"M. Roland Lescure",,"Ensemble pour la République","FRANÇAIS ÉTABLIS HORS DE FRANCE 1re","roland.lescure@assemblee-nationale.fr"
"Mme Marie Lebec",,"Ensemble pour la République","Yvelines 4e","marie.lebec@assemblee-nationale.fr"
"M. Philippe Latombe","Secrétaire ","Les Démocrates","Vendée 1re","philippe.latombe@assemblee-nationale.fr"
"Mme Marietta Karamanli",,"Socialistes et apparentés","Sarthe 2e","marietta.karamanli@assemblee-nationale.fr"
"M. Jérémie Iordanoff","Vice-président ","Écologiste et Social","Isère 5e","jeremie.iordanoff@assemblee-nationale.fr"
"M. Sébastien Huyghe",,"Ensemble pour la République","Nord 5e","sebastien.huyghe@assemblee-nationale.fr"
"M. Patrick Hetzel",,"Droite Républicaine","Bas-Rhin 7e","patrick.hetzel@assemblee-nationale.fr"
"M. Jordan Guitton",,"Rassemblement National","Aube 1re","jordan.guitton@assemblee-nationale.fr"
"Mme Monique Griseti",,"Rassemblement National","Bouches-du-Rhône 1re","monique.griseti@assemblee-nationale.fr"
"M. Guillaume Gouffier Valente","Secrétaire ","Ensemble pour la République","Val-de-Marne 6e","guillaume.gouffier@assemblee-nationale.fr"
"M. Philippe Gosselin","Vice-président ","Droite Républicaine","Manche 1re","philippe.gosselin@assemblee-nationale.fr"
"M. Yoann Gillet",,"Rassemblement National","Gard 1re","yoann.gillet@assemblee-nationale.fr"
"M. Jonathan Gery",,"Rassemblement National","Rhône 8e","jonathan.gery@assemblee-nationale.fr"
"M. Moerani Frébault",,"Ensemble pour la République","Polynésie française 1re","moerani.frebault@assemblee-nationale.fr"
"Mme Martine Froger","Secrétaire ","Libertés, Indépendants, Outre-mer et Territoires","Ariège 1re","martine.froger@assemblee-nationale.fr"
"Mme Agnès Firmin Le Bodo",,"Horizons & Indépendants","Seine-Maritime 7e","agnes.firmin@assemblee-nationale.fr"
"M. Marc Fesneau",,"Les Démocrates","Loir-et-Cher 1re","marc.fesneau@assemblee-nationale.fr"
"Mme Elsa Faucillon",,"Gauche Démocrate et Républicaine","Hauts-de-Seine 1re","elsa.faucillon@assemblee-nationale.fr"
"M. Emmanuel Duplessy",,"Écologiste et Social","Loiret 2e","emmanuel.duplessy@assemblee-nationale.fr"
"Mme Edwige Diaz",,"Rassemblement National","Gironde 11e","edwige.diaz@assemblee-nationale.fr"
"M. Paul Christophle",,"Socialistes et apparentés","Drôme 1re","paul.christophle@assemblee-nationale.fr"
"M. Vincent Caure",,"Ensemble pour la République","FRANÇAIS ÉTABLIS HORS DE FRANCE 3e","vincent.caure@assemblee-nationale.fr"
"Mme Colette Capdevielle","Secrétaire ","Socialistes et apparentés","Pyrénées-Atlantiques 5e","colette.capdevielle@assemblee-nationale.fr"
"Mme Blandine Brocard",,"Les Démocrates","Rhône 5e","blandine.brocard@assemblee-nationale.fr"
"M. Florent Boudié","Président ","Ensemble pour la République","Gironde 10e","florent.boudie@assemblee-nationale.fr"
"M. Ian Boucard",,"Droite Républicaine","Territoire de Belfort 1re","ian.boucard@assemblee-nationale.fr"
